1813_1,Pohj. ostoskeskus
1813_2,Vuosaari(M)
1814_1,Koukkusaarentie
1814_2,Vuosaari(M)
1815_1,Isonvillasaarentie
1815_2,Vuosaari(M)
1816B_1,Sofia
1816B_2,Vuosaari(M)
1816_1,Ramsinniemi
1816_2,Vuosaari(M)
1817_1,Kallahti
1817_2,Vuosaari(M)
1818_1,Mellunmäki(M)
1818_2,Vuosaari(M)
1819_1,Uutela
1819_2,Vuosaari(M)
2038_1,Uusmäki
2038_2,Elielinaukio
2100X_1,Louhenaukio
2100X_2,Kamppi
2101X_1,Louhenaukio
2101X_2,Kamppi
2102XT_1,Otaniemi
2102XT_2,Kamppi
2102X_1,Otaniemi
2102X_2,Kamppi
2111_1,Hyljelahti
2111_2,Otaniemi
2111_2,Teekkarikylä
2112N_1,Friisilä
2112N_2,Kamppi
2112_1,Matinkylä (M)
2112_2,Tapiola (M)
2113N_1,Leppävaara
2113N_2,Kamppi
2113_1,Leppävaara
2113_2,Tapiola (M)
2114N_1,Leppävaara
2114N_2,Kamppi
2114_1,Leppävaara
2114_2,Tapiola (M)
2115A_1,Mankkaa
2115A_2,Lauttasaari (M)
2115_1,Mankkaa
2115_2,Tapiola (M)
2116_1,Pohjois-Tapiola
2116_2,Tapiola
2117_1,Tapiola
2118B_1,Suurpelto
2118B_2,Tapiola (M)
2118N_1,Jorvi
2118N_2,Kamppi
2118_1,Kauklahti
2118_2,Tapiola (M)
2119_1,Niittykumpu
2119_2,Tapiola
2124_1,Tillinmäki
2124_2,Tapiola (M)
2125B_1,Olari
2125B_2,Tapiola (M)
2125N_1,Latokaski
2125N_2,Kamppi
2125_1,Espoonlahti
2125_2,Tapiola (M)
2130X_1,Matinkylä
2130X_2,Kamppi
2133_1,Henttaa
2133_2,Friisilä
2134N_1,Tuomarila
2134N_2,Kamppi
2134_1,Tuomarila
2134_2,Matinkylä (M)
2136_1,Tuomarila
2136_2,Matinkylä (M)
2137_1,Olari
2138_1,Matinkallio
2138_2,Tynnyripuisto
2143_1,Soukanniemi
2143_2,Matinkylä (M)
2145_1,Suvisaaristo
2145_2,Matinkylä (M)
2146N_1,Saunalahti
2146N_2,Kamppi
2146_1,Kivenlahti
2146_2,Matinkylä (M)
2147N_1,Kivenlahti
2147N_2,Kamppi
2147_1,Kivenlahti
2147_2,Matinkylä (M)
2148_1,Iivisniemi
2148_2,Espoonlahden keskus
2149_1,Kivenlahti
2149_2,Espoonlahden keskus
2157_1,Latokaski
2157_2,Matinkylä (M)
2158_1,Tillinmäki
2158_2,Matinkylä (M)
2164_1,Saunalahti
2164_2,Matinkylä (M)
2165N_1,Kauklahti
2165N_2,Kamppi
2165_1,Kauklahti
2165_2,Matinkylä (M)
2166E_1,Järvikylä
2166E_2,Vantinmäki
2166K_1,Espoonkartano
2166K_2,Vantinmäki
2166_1,Espoonkartano
2166_1,Lasilaakso
2166_2,Vantinmäki
2166_2,Vanttila
2167_1,Järvikylä
2167_2,Vanttila
2168_1,Kauklahti
2168_2,Espoon keskus
2169_1,Suvela
2169_2,Espoon keskus
2201B_1,Pitäjänmäki
2201B_2,Leppävaara
2201_1,Pajamäki
2201_2,Leppävaara
2202_1,Helmipöllönmäki
2202_2,Leppävaara
2203N_1,Nuijala
2203N_2,Uusmäki
2203V_1,Leppävaara
2203V_2,Uusmäki
2203_1,Laajalahti
2203_2,Uusmäki
2206A_1,Kera
2206A_2,Kamppi
2206_1,Kera
2206_2,Kamppi
2207_1,Lintukorpi
2207_2,Leppävaara
2212_1,Kauniainen
2212_2,Kamppi
2213N_1,Kauklahti
2213N_2,Kamppi
2213_1,Kauklahti
2213_2,Kamppi
2214T_1,Jupperi
2214T_2,Leppävaara
2214_1,Jupperi
2214_2,Leppävaara
2215A_1,Högnäs
2215A_2,Leppävaara
2215_1,Lähderanta
2215_2,Leppävaara
2217_1,Jupperi
2217_2,Elielinaukio
2218_1,Jupperi
2218_2,Elielinaukio
2219_1,Järvenperä
2219_2,Leppävaara
2224_1,Tuomarila
2224_2,Leppävaara
2226A_1,Kellonummi
2226A_2,Leppävaara
2226_1,Jorvi
2226_2,Leppävaara
2227N_1,Jorvi
2227N_2,Leppävaara
2227V_1,Espoon keskus
2227V_2,Leppävaara
2227_1,Espoon keskus
2227_2,Leppävaara
2229_1,Viherlaakso
2229_2,Leppävaara
2231N_1,Järvenperä
2231N_2,Elielinaukio
2232_1,Kirkkotie
2232_2,Kirkkotie
2235N_1,Kuurinniitty
2235N_2,Elielinaukio
2235_1,Kuurinniitty
2235_2,Elielinaukio
2236K_1,Serena
2236K_2,Leppävaara
2236V_1,Serena
2236V_2,Leppävaara
2236_1,Serena
2236_2,Leppävaara
2238B_1,Siikajärvi
2238B_2,Leppävaara
2238KB_1,Siikajärvi
2238KB_2,Leppävaara
2238KT_1,Siikaranta
2238KT_2,Leppävaara
2238K_1,Siikaniemi
2238K_2,Leppävaara
2238T_1,Siikaranta
2238T_2,Leppävaara
2238_1,Siikaniemi
2238_2,Leppävaara
2239T_1,Kalajärvi
2239T_2,Leppävaara
2239_1,Kalajärvi
2239_2,Leppävaara
2241V_1,Hirvisuo
2241V_2,Espoon keskus
2241_1,Hirvisuo
2241_2,Espoon keskus
2242_1,Siikaniemi
2242_2,Espoon keskus
2245A_1,Kattila
2245A_2,Espoon keskus
2245KA_1,Kattila
2245KA_2,Espoon keskus
2245K_1,Nuuksionpää
2245K_2,Espoon keskus
2245_1,Nuuksionpää
2245_2,Espoon keskus
2246KT_1,Röylä
2246KT_2,Espoon keskus
2246K_1,Röylä
2246K_2,Espoon keskus
2246T_1,Röylä
2246T_2,Espoon keskus
2246_1,Röylä
2246_2,Espoon keskus
2321N_1,Niipperi
2321N_2,Elielinaukio
2321_1,Vanhakartano
2321_2,Elielinaukio
2345K_1,Rinnekoti
2345K_2,Elielinaukio
2345N_1,Rinnekoti
2345N_2,Elielinaukio
2345_1,Rinnekoti
2345_2,Elielinaukio
2348V_1,Kalajärvi
2348V_2,Rinnekoti
2348_1,Kalajärvi
2348_2,Rinnekoti
2349BK_1,Kalajärvi
2349BK_2,Lepsämänjoki
2349B_1,Kalajärvi
2349B_2,Lepsämänjoki
2349_1,Röylä
2349_2,Lepsämänjoki
2435_1,Koskelo
2435_2,Elielinaukio
2436K_1,Kalajärvi
2436K_2,Elielinaukio
2436N_1,Kalajärvi
2436N_2,Elielinaukio
2436_1,Kalajärvi
2436_2,Elielinaukio
2502_1,Leppävaara
2502_2,Merihaka
2531B_1,Olari
2531B_2,Tiistilä
2531_1,Jorvi
2531_2,Tiistilä
2532_1,Leppävaara
2532_2,Matinkylä
2533_1,Järvenperä
2533_2,Matinkylä
2542_1,Jorvi
2542_2,Soukka
2543_1,Kivenlahti
2543_2,Leppävaara
2548_1,Jupperi
2548_2,Tapiola (M)
2549_1,Jorvi
2549_2,Tapiola (M)
2550_1,Westendinasema
2550_2,Itäkeskus(M)
2551N_1,Tapiola (M)
2551N_2,Kamppi
2551_1,Runkolinja 510
2551_1,Tapiola (M)
2551_2,Pasila
2551_2,Runkolinja 510
2552_1,Otaniemi
2552_2,Malmi
2554K_1,Leppävaara
2554K_2,Itäkeskus(M)
2554_1,Leppävaara
2554_2,Itäkeskus(M)
2582B_1,Kalajärvi
2582B_2,Espoon keskus
2582KB_1,Kalajärvi
2582KB_2,Espoon keskus
2582K_1,Serena
2582K_2,Espoon keskus
2582_1,Serena
2582_2,Espoon keskus
3001D_1,Riihimäki
3001D_2,Helsinki
3001I_1,Helsinki
3001K_1,Kerava
3001K_2,Helsinki
3001N3_1,Kerava
3001N3_2,Helsinki
3001N5_1,Kerava
3001N5_2,Helsinki
3001NS_1,Saunakallio
3001NS_2,Helsinki
3001N_1,Kerava
3001N_2,Helsinki
3001R_1,Riihimäki
3001R_2,Helsinki
3001T_1,Riihimäki
3001T_2,Helsinki
3001Z3_1,Kouvola
3001Z3_2,Helsinki
3001Z_1,Lahti
3001Z_2,Helsinki
3001_1,Kerava
3001_2,Helsinki
3002A_1,Leppävaara
3002A_2,Helsinki
3002EX_1,Espoo
3002EX_2,Helsinki
3002E_1,Kauklahti
3002E_2,Helsinki
3002L_1,Kirkkonummi
3002L_2,Helsinki
3002P_1,Helsinki
3002U_1,Kirkkonummi
3002U_2,Helsinki
3002X_1,Kirkkonummi
3002X_2,Helsinki
3002Y_1,Siuntio
3002Y_2,Helsinki
31M1B_1,Vuosaari
31M1B_2,Itäkeskus
31M1_1,Vuosaari
31M1_2,Matinkylä
31M2B_1,Mellunmäki
31M2B_2,Itäkeskus
31M2_1,Mellunmäki
31M2_2,Tapiola
404447_1,Malminkartano
404448_1,Malminkartano
404449_1,Malminkartano
404450_1,Malminkartano
404451_1,Malminkartano
404452_1,Malminkartano
404453_1,Malminkartano
4044X_1,Malminkartano
4044X_2,Kamppi
4078_2,Sotunki
4311A_1,Hämeenkylä
4311A_2,Tikkurila
4311_1,Hämeenkylä
4311_2,Myyrmäki
4313_1,Myyrmäki
4313_2,Hämeenkylä
4322_1,Vantaankoski
4322_2,Elielinaukio
4332_1,Askisto
4332_2,Elielinaukio
4335B_1,Askisto
4335B_2,Myyrmäki
4335_1,Askisto
4335_2,Linnainen
4411_1,Myyrmäki
4411_2,Elielinaukio
4412_1,Myyrmäki
4412_2,Kaivoksela
4413_1,Martinlaakso
4413_2,Myyrmäki
4415N_1,Lentoasema
4415N_2,Elielinaukio
4415_1,Lentoasema
4415_2,Elielinaukio
4421_1,Martinlaakso
4421_2,Elielinaukio
4431N_1,Kivistö
4431N_2,Elielinaukio
4431_1,Kivistö
4431_2,Elielinaukio
4432_1,Kirkka
4432_2,Martinlaakso
4433K_1,Kivistö
4433K_2,Martinlaakso
4433_1,Kivistö
4433_2,Martinlaakso
4434_1,Keimola
4434_2,Kivistö
4443K_1,Vestra
4443K_2,Kivistö
4443_1,Vestra
4443_2,Kivistö
4444T_1,Riipilä
4444T_2,Kivistö
4444_1,Riipilä
4444_2,Kivistö
4445T_1,Reuna
4445T_2,Kivistö
4445_1,Reuna
4445_2,Kivistö
4446_1,Kesäkylä
4446_2,Kivistö
4447_1,Kesäkylä
4447_2,Kivistö
4518_1,Kuninkaanmäki
4518_2,Ilmala
4555B_1,Myyrmäki
4555B_2,Leppävaara
4555_1,Martinlaakso
4555_2,Lauttasaari (M)
4560_1,Myyrmäki
4560_2,Rastila (M)
4561_1,Aviapolis
4561_2,Itäkeskus (M)
4562N_1,Lentoasema
4562N_2,Mellunmäki
4562_1,Aviapolis
4562_2,Mellunmäki
4571_1,Varisto
4571_2,Tikkurila
4572K_1,Myyrmäki
4572K_2,Mellunmäki
4572_1,Myyrmäki
4572_2,Mellunmäki
4573_1,Vantaankoski
4573_2,Aviapolis
4574_1,Myyrmäki
4574_2,Peijas
4575_1,Martinlaakso
4575_2,Tikkurila
4576_1,Kivistö
4576_2,Tikkurila
4587_1,Leppäkorpi
4587_2,Mellunmäki
4588B_1,Sotungin koulu
4588B_2,Länsisalmi
4588_1,Sotungin koulu
4588_2,Länsisalmi
4611B_1,Suutarila
4611B_2,Rautatientori
4611_1,Tikkurila
4611_2,Rautatientori
4612_1,Tammisto
4612_2,Tikkurila
4614_1,Ylästö
4614_2,Rautatientori
4615_1,Lentoasema
4615_2,Rautatientori
4616_1,Kivistö
